Age of Employee,Employee Attrition Needed,Business Travel,Dept,Education Degree,Emp. No.,Gender,Job Level,Role,Job Satisfaction Rate,Marital Status,Income per month,No. of Companies Worked,Over Time,Salary Growth Rate,Performance Rate,Employment Span,Years At Company,Years In Current Position,Years Since Last Promotion,Duration with Current Manager
41,Yes,Travel_Rarely,Sales,Life Sciences,1,Female,2,Sales Executive,4,Single,5993,8,Yes,11,3,8,6,4,0,5
37,Yes,Travel_Rarely,Research & Development,Other,4,Male,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,7,0,0,0,0
33,No,Travel_Frequently,Research & Development,Life Sciences,5,Female,1,Research Scientist,3,Married,2909,1,Yes,11,3,8,8,7,3,0
32,No,Travel_Frequently,Research & Development,Life Sciences,8,Male,1,Laboratory Technician,4,Single,3068,0,No,13,3,8,7,7,3,6
36,No,Travel_Rarely,Research & Development,Medical,13,Male,2,Healthcare Representative,3,Married,5237,6,No,13,3,17,7,7,7,7
35,No,Travel_Rarely,Research & Development,Medical,14,Male,1,Laboratory Technician,2,Married,2426,0,No,13,3,6,5,4,0,3
29,No,Travel_Rarely,Research & Development,Life Sciences,15,Female,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,10,9,5,0,8
31,No,Travel_Rarely,Research & Development,Life Sciences,16,Male,1,Research Scientist,3,Divorced,2911,1,No,17,3,5,5,2,4,3
34,No,Travel_Rarely,Research & Development,Medical,18,Male,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,Life Sciences,19,Male,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,6,4,2,0,3
32,No,Travel_Rarely,Research & Development,Life Sciences,21,Male,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,7,6,2,0,5
22,No,Non-Travel,Research & Development,Medical,22,Male,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,1,1,0,0,0
38,No,Travel_Rarely,Research & Development,Life Sciences,24,Male,1,Research Scientist,4,Single,3944,5,Yes,11,3,6,3,2,1,2
24,No,Non-Travel,Research & Development,Other,26,Female,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,5,4,2,1,3
34,No,Travel_Rarely,Research & Development,Life Sciences,28,Female,3,Research Director,2,Single,11994,0,No,11,3,13,12,6,2,11
21,No,Travel_Rarely,Research & Development,Life Sciences,30,Male,1,Research Scientist,4,Single,1232,1,No,14,3,0,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,Medical,31,Male,1,Research Scientist,1,Single,2960,2,No,11,3,8,4,2,1,3
